id,location,text
8.55E+17,South Africa,RT @ZackieAchmat: #UitmetZille #UitMetZuma - as @helenzille speaks to an all white audience @ReclaimCT protests https://t.co/qCxp7giJwW htt_Ñ_
8.55E+17,South Africa,RT @ZackieAchmat: #UitmetZille #UitMetZuma - as @helenzille speaks to an all white audience @ReclaimCT protests https://t.co/qCxp7giJwW htt_Ñ_
8.55E+17,South Africa,RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,South Africa,RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,cape town,"The demographics in that room (beyond Reclaim The City's table).@helenzille care to comment?Link:_Ñ_ https://t.co/qlcz5HDOfe"
8.55E+17,cape town,"The demographics in that room (beyond Reclaim The City's table).@helenzille care to comment?Link:_Ñ_ https://t.co/qlcz5HDOfe"
8.55E+17,"Cape Town, South Africa","@ReclaimCT ...refer the part I prefer to live where I like... https://t.co/QgHS1qAX7z"
8.55E+17,"Cape Town, South Africa","@ReclaimCT ...refer the part I prefer to live where I like... https://t.co/QgHS1qAX7z"
8.55E+17,"Cape Town, South Africa",RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,"Cape Town, South Africa",RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,"Cape Town, South Africa",RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,"Cape Town, South Africa",RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,South Africa,@LorikaElliott @Swannie1 @camerondugmore I think the actions of Reclaim the City &amp; fellow travellers show a growing_Ñ_ https://t.co/VkZ1opvC7j
8.55E+17,South Africa,@LorikaElliott @Swannie1 @camerondugmore I think the actions of Reclaim the City &amp; fellow travellers show a growing_Ñ_ https://t.co/VkZ1opvC7j
8.55E+17,"Western Cape, South Africa",RT @Bluewave4: @LorikaElliott @Swannie1 @camerondugmore I think the actions of Reclaim the City &amp; fellow travellers show a growing desperat_Ñ_
8.55E+17,"Western Cape, South Africa",RT @Bluewave4: @LorikaElliott @Swannie1 @camerondugmore I think the actions of Reclaim the City &amp; fellow travellers show a growing desperat_Ñ_
8.55E+17,Cape Town,RT @Bluewave4: @LorikaElliott @Swannie1 @camerondugmore I think the actions of Reclaim the City &amp; fellow travellers show a growing desperat_Ñ_
8.55E+17,"Cape Town, South Africa",Last night @ReclaimCT went for supper with @helenzille done with the lies and excuses on Tafelberg. Read our demand_Ñ_ https://t.co/s7TLHwwEfG
8.55E+17,"Capetown, South Africa",RT @PaulBegijn: Dat was een beste klim. Maar het uitzicht mag er zijn #Tafelberg #hike #Kaapstad #travel met @LRepkes en @MatokeTours https_Ñ_
8.55E+17,CPT SA Defending the underdog_É¥,RT @Bluewave4: @LorikaElliott @Swannie1 @camerondugmore I think the actions of Reclaim the City &amp; fellow travellers show a growing desperat_Ñ_
8.55E+17,CPT SA Defending the underdog_É¥,RT @Bluewave4: @LorikaElliott @Swannie1 @camerondugmore I think the actions of Reclaim the City &amp; fellow travellers show a growing desperat_Ñ_
8.55E+17,"Cape Town /\/ëËëËëËëË\/\, RSA",RT @PaulBegijn: Dat was een beste klim. Maar het uitzicht mag er zijn #Tafelberg #hike #Kaapstad #travel met @LRepkes en @MatokeTours https_Ñ_
8.55E+17,cape town,RT @ReclaimCT: Last night @ReclaimCT went for supper with @helenzille done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,"Soweto, South Africa",RT @ShuaibManjra: @ZackieAchmat @brettherron @AndiMakinana @RediTlhabi @Eusebius @bargematt @GavinSilber @NdifunaUkwazi @equal_education @p_Ñ_
8.55E+17,"Soweto, South Africa",RT @ShuaibManjra: @ZackieAchmat @brettherron @AndiMakinana @RediTlhabi @Eusebius @bargematt @GavinSilber @NdifunaUkwazi @equal_education @p_Ñ_
8.55E+17,Cape Town / New Orleans ,RT @ReclaimCT: Last night @ReclaimCT went for supper with @helenzille done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,Cape Town,RT @PaulBegijn: Dat was een beste klim. Maar het uitzicht mag er zijn #Tafelberg #hike #Kaapstad #travel met @LRepkes en @MatokeTours https_Ñ_
8.55E+17,"Green Point, Cape Town",#Tafelberg sale shows DA doesn't occupy moral high ground https://t.co/CuFZ4xcrng via @IOL
8.55E+17,"Green Point, Cape Town","Impossible not to interpret @helenzille actions and language in response to the #tafelberg OPPORTUNITY as RWL, neoliberal love-in"
8.55E+17,"Vanderbijlpark, South Africa",RT @ReclaimCT: Cissie Gool House this morning _ªÉç https://t.co/aRYhvVAPfG
8.55E+17,"Knysna, South Africa",RT @PaulBegijn: Dat was een beste klim. Maar het uitzicht mag er zijn #Tafelberg #hike #Kaapstad #travel met @LRepkes en @MatokeTours https_Ñ_
8.55E+17,"Johannesburg, South Africa",RT @ReclaimCT: Cissie Gool House this morning _ªÉç https://t.co/aRYhvVAPfG
8.55E+17,Johannesburg,RT @ZackieAchmat: All-White audience for @helenzille Black workers &amp; #Black &amp; White @ReclaimCT protestors https://t.co/qCxp7giJwW https://t_Ñ_
8.55E+17,Johannesburg,RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,"South Africa, Capetown",RT @PaulBegijn: Dat was een beste klim. Maar het uitzicht mag er zijn #Tafelberg #hike #Kaapstad #travel met @LRepkes en @MatokeTours https_Ñ_
8.55E+17,"Capetown, South Africa",RT @PaulBegijn: Dat was een beste klim. Maar het uitzicht mag er zijn #Tafelberg #hike #Kaapstad #travel met @LRepkes en @MatokeTours https_Ñ_
8.55E+17,South Africa,Seven placard-wielding supporters of civil rights group Reclaim The City disrupted Western Cape Premier Helen... https://t.co/jDkxxUXg9Y
