created_at,id_str,text,lang,user.screen_name,user.name,user.id_str,user.description,user.location,user.time_zone,user.utc_offset,user.lang,user.followers_count,user.listed_count,user.favourites_count,user.statuses_count,user.friends_count,retweeted_status.text,retweeted_status.created_at,retweeted_status.id_str,retweeted_status.user.screen_name,quoted_status.text,quoted_status.created_at,quoted_status.id_str,quoted_status.user.screen_name
Fri Apr 21 2017 00:05:20 GMT-0400 (EDT),855271000000000000,RT @ZackieAchmat: #UitmetZille #UitMetZuma - as @helenzille speaks to an all white audience @ReclaimCT protests https://t.co/qCxp7giJwW htt‰Û_,en,Jkm920213,#Khomotso,80075840,JavaScript. NodeJS. MongoDB. Cassandra. Tech. Startups. US Politics.,South Africa,Pretoria,7200,en,1438,185,12723,81323,,#UitmetZille #UitMetZuma - as @helenzille speaks to an all white audience @ReclaimCT protests‰Û_ https://t.co/zRfUxwcamY,Thu Apr 20 2017 14:54:32 GMT-0400 (EDT),8.55E+17,ZackieAchmat,,,,
Fri Apr 21 2017 00:05:20 GMT-0400 (EDT),855271000000000000,RT @ZackieAchmat: #UitmetZille #UitMetZuma - as @helenzille speaks to an all white audience @ReclaimCT protests https://t.co/qCxp7giJwW htt‰Û_,en,Jkm920213,#Khomotso,80075840,JavaScript. NodeJS. MongoDB. Cassandra. Tech. Startups. US Politics.,South Africa,Pretoria,7200,en,1439,185,12728,81326,,#UitmetZille #UitMetZuma - as @helenzille speaks to an all white audience @ReclaimCT protests‰Û_ https://t.co/zRfUxwcamY,Thu Apr 20 2017 14:54:32 GMT-0400 (EDT),8.55E+17,ZackieAchmat,,,,
Fri Apr 21 2017 01:02:38 GMT-0400 (EDT),855286000000000000,RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/‰Û_,en,SaysSarita,Sarita,31086672,Researcher. Spatial Justice. People Politics.      Some _Ùèè Tweets my own. ‰Ï__Ùè_ Guerrera de la luz y la tierra,South Africa,Pretoria,7200,en,668,25,2226,6213,,Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demand‰Û_ https://t.co/D2rFXJRrC2,Thu Apr 20 2017 17:22:33 GMT-0400 (EDT),8.55E+17,ReclaimCT,,,,
Fri Apr 21 2017 01:02:38 GMT-0400 (EDT),855286000000000000,RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/‰Û_,en,SaysSarita,Sarita,31086672,Researcher. Spatial Justice. People Politics.      Some _Ùèè Tweets my own. ‰Ï__Ùè_ Guerrera de la luz y la tierra,South Africa,Pretoria,7200,en,668,25,2226,6213,,Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demand‰Û_ https://t.co/D2rFXJRrC2,Thu Apr 20 2017 17:22:33 GMT-0400 (EDT),8.55E+17,ReclaimCT,,,,
Fri Apr 21 2017 02:18:03 GMT-0400 (EDT),855305000000000000,"The demographics in that room (beyond Reclaim The City's table).@helenzille care to comment?Link:‰Û_ https://t.co/qlcz5HDOfe",en,mlunguzaluxolo_,#BringBackTheWorkers,540092230,"Fallist, Activist | Entrepreneur | Student | Black Talent SA.| Rhandzanani Movement Clothing | Kilombo Village |",cape town,Pacific Time (US & Canada),-25200,en,1148,20,1306,12297,,,,,,,,,
Fri Apr 21 2017 02:18:03 GMT-0400 (EDT),855305000000000000,"The demographics in that room (beyond Reclaim The City's table).@helenzille care to comment?Link:‰Û_ https://t.co/qlcz5HDOfe",en,mlunguzaluxolo_,#BringBackTheWorkers,540092230,"Fallist, Activist | Entrepreneur | Student | Black Talent SA.| Rhandzanani Movement Clothing | Kilombo Village |",cape town,Pacific Time (US & Canada),-25200,en,1148,20,1306,12297,,,,,,,,,
Fri Apr 21 2017 02:24:10 GMT-0400 (EDT),855306000000000000,"@ReclaimCT ...refer the part I prefer to live where I like... https://t.co/QgHS1qAX7z",en,_HassanF,Fatima Hassan,3335481377,Director @osfsa. Human Rights Lawyer. Figuring it out.Tweets personal. Re-tweet not an endorsement.,"Cape Town, South Africa",,,en,922,40,3409,13472,,,,,,"Uncle Kathy was a kind and noble soul -  he could also be hella spicy when called upon. Must readhttps://t.co/PVqEewesEb",Thu Apr 20 2017 17:15:01 GMT-0400 (EDT),8.55E+17,thedailyvox
Fri Apr 21 2017 02:24:10 GMT-0400 (EDT),855306000000000000,"@ReclaimCT ...refer the part I prefer to live where I like... https://t.co/QgHS1qAX7z",en,_HassanF,Fatima Hassan,3335481377,Director @osfsa. Human Rights Lawyer. Figuring it out.Tweets personal. Re-tweet not an endorsement.,"Cape Town, South Africa",,,en,922,40,3409,13472,,,,,,"Uncle Kathy was a kind and noble soul -  he could also be hella spicy when called upon. Must readhttps://t.co/PVqEewesEb",Thu Apr 20 2017 17:15:01 GMT-0400 (EDT),8.55E+17,thedailyvox
Fri Apr 21 2017 02:31:35 GMT-0400 (EDT),855308000000000000,RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/‰Û_,en,spiritstalker,haidee,15579305,food activist. human being,"Cape Town, South Africa",Greenland,-7200,en,326,32,574,2761,,Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demand‰Û_ https://t.co/D2rFXJRrC2,Thu Apr 20 2017 17:22:33 GMT-0400 (EDT),8.55E+17,ReclaimCT,,,,
Fri Apr 21 2017 02:31:35 GMT-0400 (EDT),855308000000000000,RT @ReclaimCT: Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demands https:/‰Û_,en,spiritstalker,haidee,15579305,food activist. human being,"Cape Town, South Africa",Greenland,-7200,en,326,32,574,2761,,Tonight @ReclaimCT came for supper with @helenzille We done with the lies and excuses on Tafelberg. Read our demand‰Û_ https://t.co/D2rFXJRrC2,Thu Apr 20 2017 17:22:33 GMT-0400 (EDT),8.55E+17,ReclaimCT,,,,
