idx,word,occurrences
0,RT,472
1,Tafelberg,118
2,amp,57
3,Khayelitsha,50
4,Cape,48
5,The,47
6,apartheid,45
7,https_„_,44
8,movement,43
9,meeting,41
10,spatial,41
11,Town,40
12,dismissal,39
13,Zuma_„_s,39
14,calls,39
15,housing,36
16,We,35
17,Read,34
18,done,33
19,occupied,32
20,city,31
21,must,30
22,end,30
23,today,29
24,A,28
25,UniteBehind,27
26,lies,27
27,I,25
28,supper,25
29,demands,25
30,excuses,25
31,racial,24
32,Please,23
33,dont,23
34,CapeTown,23
35,geography,22
36,inequality,22
37,SA,22
38,City,22
39,people,22
40,economic,22
41,Cissie,21
42,When,21
43,First,21
44,things,21
45,still,21
46,Reclaim,21
47,Gool,21
48,land,21
49,Our,20
50,What,20
51,white,20
52,EE,20
53,audience,19
54,social,18
55,It,17
56,support,17
57,session,16
58,Apartheid,16
59,prime,16
60,state,16
61,affordable,16
62,look,16
63,night,16
64,Andile,16
65,along,15
66,great,15
67,Tonight,15
68,want,15
69,lines,15
70,segregated,15
71,came,15
72,decades,15
73,Is,15
74,become,15
75,Two,15
76,pieces,14
77,speaks,14
78,Seskhona,14
79,happen,14
80,low,14
81,SeaPoint,14
82,UitmetZille,14
83,Im,14
84,UitMetZuma,14
85,piece,14
86,includes,14
87,says,13
88,htt_„_,13
89,occupations,13
90,This,13
91,conventional,13
92,show,13
93,Lili,13
94,You,13
95,Check,13
96,Zuma,13
97,protests,13
98,´,12
99,So,12
100,means,12
101,Why,12
102,Helen,12
103,_»,12
104,Zille,12
105,relocation,12
106,Government,12
107,mobilising,11
108,Forum,11
109,ANC,11
110,build,11
111,consists,11
112,House,11
113,Wolwerivier,10
114,publish,10
115,vermis,10
116,go,10
117,even,10
118,scraping,10
119,geen,10
120,antisemitic,10
121,Also,10
122,beautiful,10
123,raisi_„_,10
124,Another,10
125,Rm,10
126,continue,10
127,teken,10
128,went,10
129,place,10
130,Black,10
131,_»_ ,10
132,Steeds,10
133,accusing,10
134,need,10
135,also,10
136,take,10
137,clear,10
138,barrel,10
139,relation,10
140,vrou,10
141,behind,10
142,new,10
143,_»î_,10
144,FAILED,10
145,government,10
146,submissions,10
147,Last,10
148,like,10
149,indication,10
150,raak,10
151,op,10
152,van,10
153,racist,10
154,wat,10
155,cabinet,10
156,segregation,10
157,el_„_,10
158,u,10
159,time,10
160,substitute,9
161,played,9
162,card,9
163,man,9
164,truth,9
165,rational,9
166,struggle,9
167,argument,9
168,think,9
169,Its,9
170,see,9
171,But,9
172,wants,9
173,poor,9
174,Mathews,9
175,p_„_,9
176,caused,8
177,protest,8
178,a_„_,8
179,Secretary,8
180,Pho_„_,8
181,tweet,8
182,via,8
183,Houses,8
184,Motsoeneng,8
